"Hill, Seth J",AIP 197DC,FA19,24,3,0.0,0.0,4.50,,
"Wienhausen, Gabriele",AIP 197T,FA19,11,4,100.0,100.0,2.00,,
"Shtienberg, Gilad",ANAR 116,FA19,24,13,100.0,100.0,3.59,3.70,3.32
"Jones, Ian William Nasser",ANAR 121,FA19,14,5,100.0,100.0,1.70,3.60,
"Hanson, Kari Lynne",ANBI 112,FA19,9,7,100.0,100.0,3.93,3.86,
"Non, Amy L",ANBI 131,FA19,54,46,91.3,97.8,4.50,3.72,3.55
"Gagneux, Pascal",ANBI 141,FA19,136,63,98.4,98.3,4.40,3.56,2.74
"Hrvoj Mihic, Branka",ANBI 143,FA19,20,13,92.3,100.0,6.81,3.42,3.36
"Yeh, Rihan Wen Xin",ANSC 104,FA19,17,12,100.0,100.0,5.33,3.50,
"Olivas Hernandez, Olga Lid",ANSC 105,FA19,34,15,100.0,100.0,3.36,3.57,3.68
"Williams Green, Leanne Judith",ANSC 118,FA19,36,24,95.7,100.0,5.20,3.41,3.60
"Haviland, John B.",ANSC 119,FA19,10,6,83.3,83.3,5.17,3.40,
"Jassal, Aftab",ANSC 120,FA19,46,38,86.1,88.9,4.22,3.50,3.35
"Haviland, John B.",ANSC 131,FA19,16,6,66.7,66.7,4.50,3.33,
"Stewart, Alexander B",ANSC 137,FA19,33,18,94.1,94.1,3.91,3.18,2.78
"Kaiser, Bronwyn Nicole",ANSC 148,FA19,79,74,87.5,90.1,4.31,3.55,3.49
"Deniz, Dilsa",ANSC 154,FA19,16,7,85.7,66.7,4.79,4.00,
"Fortier, Jana",ANSC 169,FA19,8,4,100.0,100.0,4.50,4.00,
"Goldstein, Paul S",ANTH 101,FA19,140,53,78.0,84.0,4.18,3.52,3.56
"Non, Amy L",ANTH 196A,FA19,8,6,100.0,100.0,6.50,3.83,
"Hrvoj Mihic, Branka",ANTH 2,FA19,206,105,89.0,91.8,3.47,3.15,3.18
"Dalla Dea, Ariane Lumena",ANTH 21,FA19,128,55,72.5,64.0,2.89,3.85,3.62
"Jones, Ian William Nasser",ANTH 21,FA19,370,301,95.9,97.2,3.91,3.85,3.86
"Stewart, Alexander B",ANTH 23,FA19,248,199,91.5,96.4,3.35,3.54,3.40
"Borrero, Mario Ricardo",ANTH 23,FA19,94,73,89.9,94.1,3.54,3.51,3.25
"Non, Amy L",ANTH 87,FA19,13,8,100.0,100.0,0.79,,
"Christie, Veronica Ann",AWP 1,FA19,39,35,88.6,100.0,6.10,3.50,2.70
"Coulter, Jane Elisabeth",AWP 1,FA19,12,12,100.0,100.0,7.33,2.83,
"Eastin, Schuyler E.",AWP 1,FA19,35,30,70.0,93.3,7.77,3.14,2.05
"Given, William Allan",AWP 1,FA19,40,35,91.2,100.0,9.53,3.07,2.43
"Gonzales, Paulina Margarita",AWP 1,FA19,14,9,77.8,100.0,11.83,3.00,
"Haugh, Megan Nicole",AWP 1,FA19,36,31,83.9,96.8,7.66,2.93,2.55
"Heiser, Jerrod A",AWP 1,FA19,24,22,77.3,100.0,7.23,3.07,2.53
"Krizovensky, Jaclyn A",AWP 1,FA19,36,32,48.4,86.7,7.94,2.82,2.52
